TimeStep,VarDate,Pac,Temperature,Vac
06:35,2015-05-03,0,21.25,209.64
06:40,2015-05-03,0,21.27,209.61
06:45,2015-05-03,4.46,21.29,209.57
06:50,2015-05-03,12.26,21.61,209.67
06:55,2015-05-03,24.25,22,209.72
07:00,2015-05-03,41.05,22.07,209.77
07:05,2015-05-03,54.37,22.52,209.94
07:10,2015-05-03,77.26,22.6,209.83
07:15,2015-05-03,100.18,22.6,209.86
07:20,2015-05-03,124.78,22.95,209.95
07:25,2015-05-03,147.09,23.2,209.94
07:30,2015-05-03,172.4,23.22,209.95
07:35,2015-05-03,193.26,23.76,209.91
07:40,2015-05-03,218.47,23.8,209.93
07:45,2015-05-03,245.67,24.23,209.84
07:50,2015-05-03,274.05,24.49,209.69
07:55,2015-05-03,304.19,24.75,209.78
08:00,2015-05-03,339.34,25.1,209.6
08:05,2015-05-03,376.11,25.43,209.54
08:10,2015-05-03,401.81,25.69,209.5
08:15,2015-05-03,443.9,26.16,209.26
08:20,2015-05-03,484.97,26.49,209.15
08:25,2015-05-03,506.3,26.99,209.14
08:30,2015-05-03,528.7,27.16,209.06
08:35,2015-05-03,561.72,27.58,209.11
08:40,2015-05-03,600.51,28.03,209
08:45,2015-05-03,646.96,28.39,209.15
08:50,2015-05-03,702.59,28.89,209.22
08:55,2015-05-03,741.26,29.43,209.12
09:00,2015-05-03,750.04,29.56,209.11
09:05,2015-05-03,740.72,30.02,208.87
09:10,2015-05-03,774.36,30.15,208.76
09:15,2015-05-03,859.36,30.76,209.29
09:20,2015-05-03,919.58,31.3,209.3
09:25,2015-05-03,949.44,31.61,209.27
09:30,2015-05-03,939.52,31.99,209.17
09:35,2015-05-03,937.2,32.01,209.29
09:40,2015-05-03,944.41,32.6,209.23
09:45,2015-05-03,946.78,32.69,209.1
09:50,2015-05-03,955.23,32.72,209.02
09:55,2015-05-03,1048.89,33.27,208.91
10:00,2015-05-03,1074.84,33.51,209.03
10:05,2015-05-03,1096.31,33.9,209.01
10:10,2015-05-03,1151.97,34.36,209.03
10:15,2015-05-03,1168.49,34.5,209.55
10:20,2015-05-03,1127.39,34.5,210.27
10:25,2015-05-03,1189.16,35.12,209.89
10:30,2015-05-03,1294.01,35.59,209.88
10:35,2015-05-03,1376.4,36.12,209.73
10:40,2015-05-03,1341,36.4,209.55
10:45,2015-05-03,1289.56,36.4,209.52
10:50,2015-05-03,1300.42,36.55,209.47
10:55,2015-05-03,1368.49,37.06,209.48
11:00,2015-05-03,1448.2,37.55,209.8
11:05,2015-05-03,1434.08,37.7,209.63
11:10,2015-05-03,1475.11,38.15,209.4
11:15,2015-05-03,1453.34,38.3,209.19
11:20,2015-05-03,1380.1,38.3,209.06
11:25,2015-05-03,1502.14,38.55,209.18
11:30,2015-05-03,1679.85,39.41,209.12
11:35,2015-05-03,1746.49,40.08,209.02
11:40,2015-05-03,1871.01,40.71,209.55
11:45,2015-05-03,1964.82,41.58,209.74
11:50,2015-05-03,1996,42.09,209.84
11:55,2015-05-03,1980.67,42.43,209.63
12:00,2015-05-03,2109.42,43.06,209.61
12:05,2015-05-03,2245.32,43.95,209.85
12:10,2015-05-03,2264.29,44.58,209.83
12:15,2015-05-03,2251.08,45.05,209.69
12:20,2015-05-03,2198.44,45.19,209.53
12:25,2015-05-03,2201.93,45.26,209.59
12:30,2015-05-03,2248.2,45.89,209.56
12:35,2015-05-03,2280.32,46.18,209.65
12:40,2015-05-03,2511.44,47.02,209.75
12:45,2015-05-03,2997.49,48.85,209.73
12:50,2015-05-03,3097.7,50.78,209.81
12:55,2015-05-03,2770.34,50.3,209.48
13:00,2015-05-03,2732.3,50.4,209.67
13:05,2015-05-03,3120.73,51.76,209.81
13:10,2015-05-03,3274.45,53.39,209.89
13:15,2015-05-03,3285.36,53.75,209.86
13:20,2015-05-03,3790.55,56.12,210.05
13:25,2015-05-03,3195.14,55.57,209.94
13:30,2015-05-03,3079.09,55.41,209.96
13:35,2015-05-03,3387.66,55.91,210.09
13:40,2015-05-03,3354.77,56.61,210.17
13:45,2015-05-03,2997.22,55.9,210.08
13:50,2015-05-03,3542.41,57.4,210.4
13:55,2015-05-03,3572.63,57.86,210.25
14:00,2015-05-03,3264.83,58.42,209.85
14:05,2015-05-03,3064.8,57.18,209.78
14:10,2015-05-03,3331.38,57.98,209.85
14:15,2015-05-03,2991.81,57.66,209.82
14:20,2015-05-03,3156.15,57.07,209.78
14:25,2015-05-03,3151.55,58.21,209.69
14:30,2015-05-03,3836.23,60.34,209.92
14:35,2015-05-03,2909.15,58.28,209.53
14:40,2015-05-03,3507.19,59.48,209.68
14:45,2015-05-03,3079.36,59.62,209.67
14:50,2015-05-03,2267.03,56.99,209.12
14:55,2015-05-03,4449.78,61.69,209.88
15:00,2015-05-03,3209.75,61.91,209.66
15:05,2015-05-03,2389.14,57.21,209.42
15:10,2015-05-03,2666.61,57.41,209.45
15:15,2015-05-03,3666.26,62.06,209.74
15:20,2015-05-03,4205.33,62.74,210.02
15:25,2015-05-03,3164.2,62.57,209.57
15:30,2015-05-03,2796.77,59.96,209.41
15:35,2015-05-03,2185.99,58.41,209.12
15:40,2015-05-03,2613.34,57.34,209.3
15:45,2015-05-03,3840.67,61.41,209.86
15:50,2015-05-03,2457.92,58.48,209.24
15:55,2015-05-03,3470.16,61.39,209.68
16:00,2015-05-03,3179.23,61.06,209.57
16:05,2015-05-03,3285.26,61.35,209.62
16:10,2015-05-03,2497.73,60.3,209.47
16:15,2015-05-03,3569.58,61.11,209.72
16:20,2015-05-03,2879.64,60.85,209.48
16:25,2015-05-03,2886.65,59.78,209.5
16:30,2015-05-03,3204.57,61.3,209.53
16:35,2015-05-03,2833.57,60.45,209.21
16:40,2015-05-03,2807.21,59.51,209.11
16:45,2015-05-03,2645.96,59.5,209.2
16:50,2015-05-03,2650.18,58.69,209.35
16:55,2015-05-03,2348.56,58.04,209.24
17:00,2015-05-03,2195.19,57.45,209.17
17:05,2015-05-03,2270.81,56.09,209.23
17:10,2015-05-03,2335.11,56.54,209.87
17:15,2015-05-03,2262.64,56.16,209.93
17:20,2015-05-03,2223.18,55.65,209.82
17:25,2015-05-03,2147.12,55.12,209.69
17:30,2015-05-03,2082.2,54.74,209.89
17:35,2015-05-03,1941.85,54.06,209.72
17:40,2015-05-03,1524.08,52.54,209.8
17:45,2015-05-03,1668.41,51.89,209.91
17:50,2015-05-03,1326.62,50.63,209.74
17:55,2015-05-03,944.04,48.86,209.69
18:00,2015-05-03,593.9,46.94,209.51
18:05,2015-05-03,431.56,45.33,209.49
18:10,2015-05-03,390.72,44.26,209.4
18:15,2015-05-03,383.51,43.4,209.37
18:20,2015-05-03,413.38,42.77,209.58
18:25,2015-05-03,374.2,42.19,209.59
18:30,2015-05-03,342.35,41.61,209.56
18:35,2015-05-03,315.07,41.03,209.6
18:40,2015-05-03,284.2,40.64,209.49
18:45,2015-05-03,238.14,40.07,209.51
18:50,2015-05-03,220.59,39.6,209.52
18:55,2015-05-03,207.07,39.16,209.48
19:00,2015-05-03,183.26,38.79,209.49
19:05,2015-05-03,169.49,38.3,209.65
19:10,2015-05-03,177.61,38.19,209.56
19:15,2015-05-03,132.59,37.7,209.59
19:20,2015-05-03,98.55,37.33,209.61
19:25,2015-05-03,78.31,37.08,209.56
19:30,2015-05-03,64.75,36.49,209.65
19:35,2015-05-03,41.89,36.32,210.1
19:40,2015-05-03,28.64,35.84,209.89
19:45,2015-05-03,7.04,35.78,209.78
19:50,2015-05-03,0.08,35.27,209.31
19:55,2015-05-03,0,34.57,210.45
20:00,2015-05-03,0,34.4,210.48
20:05,2015-05-03,0,33.86,210.36
06:20,2015-05-04,0,20.7,209.33
06:25,2015-05-04,0,20.7,209.15
06:30,2015-05-04,0,20.7,209.07
06:35,2015-05-04,0,20.7,209.04
06:40,2015-05-04,0,20.7,208.99
06:45,2015-05-04,7.91,21.05,209.11
06:50,2015-05-04,16.96,21.36,208.95
06:55,2015-05-04,38.75,22,208.97
07:00,2015-05-04,65.09,21.99,208.82
07:05,2015-05-04,92.27,22.06,209.39
07:10,2015-05-04,113.85,22.55,211.07
